"geo_code","domain_supermarket_proximity","domain_supermarket_accessibility","domain_ecommerce_access","domain_socio_demographic","domain_nonsupermarket_proximity","domain_food_for_families","domain_fuel_poverty","country","country_denominator","combined","pp_dec_domain_supermarket_proximity","pp_dec_domain_supermarket_accessibility","pp_dec_domain_ecommerce_access","pp_dec_domain_socio_demographic","pp_dec_domain_nonsupermarket_proximity","pp_dec_domain_food_for_families","pp_dec_domain_fuel_poverty","pp_dec_combined"
"E01001308",9678,14274,6523,19281,18723,24203,21665,"E",32843,12773,3,5,2,6,6,8,7,4
"E01001197",25848,20156,6523,9298,21241,23627,14317,"E",32843,13944,8,7,2,3,7,8,5,5
"E01001331",29073,19561,8458,4916,16977,25458,5197,"E",32843,13177,9,6,3,2,6,8,2,5
"E01001328",30775,18091,8458,6438,20291,24652,7659,"E",32843,16307,10,6,3,2,7,8,3,5
"E01001372",12113,19854,955,6764,25046,21553,9450,"E",32843,7142,4,7,1,3,8,7,3,3
"E01001214",17168,9010,8458,16298,23453,20070,16215,"E",32843,9831,6,3,3,5,8,7,5,3
"E01001315",16500,12653,6523,14731,24593,24573,18988,"E",32843,13563,6,4,2,5,8,8,6,5
"E01001203",27431,31545,6523,2636,26816,24608,6833,"E",32843,22800,9,10,2,1,9,8,3,7
"E01001286",10778,14334,18356,9157,12962,14449,10961,"E",32843,3759,4,5,6,3,4,5,4,2
"E01001307",17554,14901,6523,18678,24505,23987,17226,"E",32843,14636,6,5,2,6,8,8,6,5
"E01001250",30971,23619,6523,3329,24832,11084,11907,"E",32843,15112,10,8,2,2,8,4,4,5
"E01001264",19805,7815,8458,12019,23831,22258,14573,"E",32843,9774,7,3,3,4,8,7,5,3
"E01001225",29650,23158,26601,10067,21866,20288,26241,"E",32843,26152,10,8,9,4,7,7,8,8
"E01001337",6632,14112,6523,9425,20924,15785,10647,"E",32843,3251,3,5,2,3,7,5,4,1
"E01001218",6517,20950,265,5016,21368,18192,8933,"E",32843,3646,2,7,1,2,7,6,3,2
"E01001231",17888,26258,26601,18706,20542,22476,27710,"E",32843,26122,6,8,9,6,7,7,9,8
"E01001364",15424,6700,955,3508,22095,25085,9689,"E",32843,5313,5,3,1,2,7,8,3,2
